,id,text,created_at,elden ring,retweet_count,reply_count,like_count,quote_count,polarity
1456,1601385180887150592,FromSoftware earns Best Game Direction for Elden Ring at   Congrats Stock Alerts Discussion Group    ,2022-12-10T01:15:54.000Z,1.0,0,0,0,0,0.3
1466,1601384762328854528,FromSoftware earns Best Game Direction for Elden Ring at   Congrats Stocks  Gold  Energy  Trading Discussion Groups    ,2022-12-10T01:14:14.000Z,1.0,0,0,1,0,0.3
1470,1601384747514503168,Congratulations to FromSoftware and Elden Ring on winning Game of the Year at  Stocks  Gold  Energy  Trading Discussion Groups    ,2022-12-10T01:14:10.000Z,1.0,0,0,0,0,0.04999999999999999
1473,1601384744389779457,Elden Ring wins Best Roleplaying Game at   Congrats FromSoftware Stocks  Options  Forex  Energy  Gold Discussion Groups    ,2022-12-10T01:14:10.000Z,1.0,0,0,0,0,0.3
1477,1601384530883284994,It s Elden Rings fault,2022-12-10T01:13:19.000Z,1.0,0,1,2,0,0.0
1483,1601384251030900737,Elden Ring wins Best Roleplaying Game at   Congrats FromSoftware Stocks  Options  Futures  Discussion Groups    ,2022-12-10T01:12:12.000Z,1.0,0,0,0,0,0.3
1487,1601384243002679296,FromSoftware earns Best Game Direction for Elden Ring at   Congrats Stocks  Cryptocurrencies  Discussion Groups    ,2022-12-10T01:12:10.000Z,1.0,0,0,0,0,0.3
1489,1601384242302586880,Congratulations to FromSoftware and Elden Ring on winning Game of the Year at  Stock Alerts Discussion Group    ,2022-12-10T01:12:10.000Z,1.0,0,0,0,0,0.04999999999999999
1523,1601381321896386560,FromSoftware earns Best Game Direction for Elden Ring at   Congrats Stock selection discussion group  click to join    ,2022-12-10T01:00:34.000Z,1.0,0,0,0,0,0.3
1524,1601381320122589184,Elden Ring wins Best Roleplaying Game at   Congrats FromSoftware Stock Advance Alert Group  click to join    ,2022-12-10T01:00:33.000Z,1.0,0,0,0,0,0.3
1526,1601381317392076800,Congratulations to FromSoftware and Elden Ring on winning Game of the Year at  Stock insider trading discussion group  click to join    ,2022-12-10T01:00:32.000Z,1.0,0,0,0,0,0.04999999999999999
1530,1601381180707831811,Elden Ring developers FromSoftware has finally announced a new entry in their mecha series  Armored Core ,2022-12-10T01:00:00.000Z,1.0,0,0,0,0,0.06818181818181818
1541,1601380911764803585,Elden Ring wins Best Roleplaying Game at   Congrats FromSoftware Stock Advance Alert Group  click to join    ,2022-12-10T00:58:56.000Z,1.0,0,0,0,0,0.3
1544,1601380901312958464,Congratulations to FromSoftware and Elden Ring on winning Game of the Year at  Stock insider trading discussion group  click to join    ,2022-12-10T00:58:53.000Z,1.0,0,0,0,0,0.04999999999999999
1546,1601380896921178112,FromSoftware earns Best Game Direction for Elden Ring at   Congrats Stocks  Gold  Energy  Trading Discussion Groups    ,2022-12-10T00:58:52.000Z,1.0,0,0,0,0,0.3
1557,1601380615378853889,FromSoftware earns Best Game Direction for Elden Ring at   Congrats Stocks  Gold  Energy  Trading Discussion Groups    ,2022-12-10T00:57:45.000Z,1.0,0,0,0,0,0.3
1558,1601380613264932864,Elden Ring wins Best Roleplaying Game at   Congrats FromSoftware Sniping stocks  click to enter    ,2022-12-10T00:57:45.000Z,1.0,0,0,0,0,0.3
1560,1601380611746586624,Congratulations to FromSoftware and Elden Ring on winning Game of the Year at  Stocks Free Alerts Discussion Group  Click to Join    ,2022-12-10T00:57:44.000Z,1.0,0,0,0,0,0.16666666666666666
1565,1601380350214623232,FromSoftware earns Best Game Direction for Elden Ring at   Congrats Stocks  Cryptocurrencies  Discussion Groups    ,2022-12-10T00:56:42.000Z,1.0,0,0,0,0,0.3
1569,1601380332451733504,Elden Ring wins Best Roleplaying Game at   Congrats FromSoftware Stock Intelligence Discussion Group  click jiaru    ,2022-12-10T00:56:38.000Z,1.0,0,0,0,0,0.3
1570,1601380329608347649,Congratulations to FromSoftware and Elden Ring on winning Game of the Year at  Stocks  Options  Forex  Energy  Gold Discussion Groups    ,2022-12-10T00:56:37.000Z,1.0,0,0,0,0,0.04999999999999999
1581,1601380056739504129,Congratulations to FromSoftware and Elden Ring on winning Game of the Year at  Insider trading discussion group  click to join    ,2022-12-10T00:55:32.000Z,1.0,0,0,0,0,0.04999999999999999
1586,1601380022958587905,Elden Ring wins Best Roleplaying Game at   Congrats FromSoftware Stock Intelligence Discussion Group  click jiaru    ,2022-12-10T00:55:24.000Z,1.0,0,0,0,0,0.3
1589,1601380016969117697,FromSoftware earns Best Game Direction for Elden Ring at   Congrats Stocks  Cryptocurrencies  Discussion Groups    ,2022-12-10T00:55:22.000Z,1.0,0,0,0,0,0.3
1597,1601379767902646272,Congratulations to FromSoftware and Elden Ring on winning Game of the Year at  Stocks  Options  Forex  Energy  Gold Discussion Groups    ,2022-12-10T00:54:23.000Z,1.0,0,0,0,0,0.04999999999999999
1608,1601379487396265984,Elden Ring wins Best Roleplaying Game at   Congrats FromSoftware Stock insider trading discussion group  click to join    ,2022-12-10T00:53:16.000Z,1.0,0,0,0,0,0.3
1614,1601379478303051776,FromSoftware earns Best Game Direction for Elden Ring at   Congrats Stock Advance Alert Group  click to join    ,2022-12-10T00:53:14.000Z,1.0,0,0,0,0,0.3
1615,1601379477665492993,Congratulations to FromSoftware and Elden Ring on winning Game of the Year at  Stocks Free Alerts Discussion Group  Click to Join    ,2022-12-10T00:53:14.000Z,1.0,0,0,0,0,0.16666666666666666
1627,1601379118385623040,Congratulations to FromSoftware and Elden Ring on winning Game of the Year at  Stock Advance Alert Group  click to join    ,2022-12-10T00:51:48.000Z,1.0,0,0,0,0,0.04999999999999999
1628,1601379118263980032,FromSoftware earns Best Game Direction for Elden Ring at   Congrats Sniping stocks  click to enter    ,2022-12-10T00:51:48.000Z,1.0,0,0,0,0,0.3
1630,1601379055085195265,This might be my last tweet on   Elden Ring won Best RPG Game  What was Elden Rings competition  Nintendo Switch exclusives  Obviously  the Nintendo Switch players were all divided between these four gamesgiving Elden Ring the easy win on votes ,2022-12-10T00:51:33.000Z,3.0,1,2,47,0,0.3055555555555555
1643,1601378853439434752,FromSoftware earns Best Game Direction for Elden Ring at   Congrats Stock selection discussion group  click to join    ,2022-12-10T00:50:45.000Z,1.0,0,0,0,0,0.3
1644,1601378853074923520,Congratulations to FromSoftware and Elden Ring on winning Game of the Year at  Insider trading discussion group  click to join    ,2022-12-10T00:50:45.000Z,1.0,0,0,0,0,0.04999999999999999
1646,1601378842475909120,Elden Ring wins Best Roleplaying Game at   Congrats FromSoftware Stocks Free Alerts Discussion Group  Click to Join    ,2022-12-10T00:50:42.000Z,1.0,0,0,0,0,0.325
1648,1601378762150408192,ClintonElden Ring,2022-12-10T00:50:23.000Z,1.0,0,0,0,0,0.0
1651,1601378645914062849,ClintonElden Ring,2022-12-10T00:49:56.000Z,1.0,0,0,0,0,0.0
1674,1601377094990118914,showed up Manon last night and I NEEDED to draw her  Also Elden Ring winning GotY was the other best part ,2022-12-10T00:43:46.000Z,1.0,2,1,14,0,0.34375
1691,1601376078735740928,Elden Ring wins Best Roleplaying Game at   Congrats FromSoftware Insider trading discussion group  click to join    ,2022-12-10T00:39:43.000Z,1.0,0,0,0,0,0.3
1692,1601376073471561729,Congratulations to FromSoftware and Elden Ring on winning Game of the Year at  Stock Intelligence Discussion Group  click jiaru    ,2022-12-10T00:39:42.000Z,1.0,0,0,0,0,0.04999999999999999
1696,1601376057378361345,FromSoftware earns Best Game Direction for Elden Ring at   Congrats Stock Intelligence Discussion Group  click jiaru    ,2022-12-10T00:39:38.000Z,1.0,0,0,0,0,0.3
1698,1601375784194621440,FromSoftware earns Best Game Direction for Elden Ring at   Congrats Stocks  Cryptocurrencies  Discussion Groups    ,2022-12-10T00:38:33.000Z,1.0,0,0,0,0,0.3
1703,1601375774975541249,Congratulations to FromSoftware and Elden Ring on winning Game of the Year at  Stock Alerts Discussion Group    ,2022-12-10T00:38:31.000Z,1.0,0,0,0,0,0.04999999999999999
1705,1601375769758175232,Elden Ring wins Best Roleplaying Game at   Congrats FromSoftware Stocks  Options  Forex  Energy  Gold Discussion Groups    ,2022-12-10T00:38:30.000Z,1.0,0,0,0,0,0.3
1711,1601375690242555904,ALL Elden Ring Awards Mashup   The Game Awards Show,2022-12-10T00:38:11.000Z,1.0,0,0,0,0,-0.4
1717,1601375496327294976,FromSoftware earns Best Game Direction for Elden Ring at   Congrats Stocks  Cryptocurrencies  Discussion Groups    ,2022-12-10T00:37:25.000Z,1.0,0,0,0,0,0.3
1718,1601375492807962624,Elden Ring wins Best Roleplaying Game at   Congrats FromSoftware Stocks  Gold  Energy  Trading Discussion Groups    ,2022-12-10T00:37:24.000Z,1.0,0,0,0,0,0.3
1725,1601375475049168896,Congratulations to FromSoftware and Elden Ring on winning Game of the Year at  Stocks  Options  Forex  Energy  Gold Discussion Groups    ,2022-12-10T00:37:20.000Z,1.0,0,0,0,0,0.04999999999999999
1737,1601375121272627200,Congratulations to FromSoftware and Elden Ring on winning Game of the Year at  Stock Alerts Discussion Group    ,2022-12-10T00:35:55.000Z,1.0,0,0,0,0,0.04999999999999999
1739,1601375114981158913,Elden Ring wins Best Roleplaying Game at   Congrats FromSoftware Stocks  Options  Forex  Energy  Gold Discussion Groups    ,2022-12-10T00:35:54.000Z,1.0,0,0,0,0,0.3
1743,1601375106261188608,FromSoftware earns Best Game Direction for Elden Ring at   Congrats Stock Intelligence Discussion Group  click jiaru    ,2022-12-10T00:35:52.000Z,1.0,0,0,0,0,0.3
1751,1601374933766262784,Congratulations to FromSoftware and Elden Ring on winning Game of the Year at  Stock Alerts Discussion Group    ,2022-12-10T00:35:10.000Z,1.0,0,0,0,0,0.04999999999999999
1754,1601374912324964352,Elden Ring wins Best Roleplaying Game at   Congrats FromSoftware Stock selection discussion group  click to join    ,2022-12-10T00:35:05.000Z,1.0,0,0,0,0,0.3
1757,1601374804267134978,Elden Ring wins Best Roleplaying Game at   Congrats FromSoftware Stocks  Options  Futures  Discussion Groups    ,2022-12-10T00:34:40.000Z,1.0,0,0,0,0,0.3
1764,1601374779185205248,Congratulations to FromSoftware and Elden Ring on winning Game of the Year at  Stock Intelligence Discussion Group  click jiaru    ,2022-12-10T00:34:34.000Z,1.0,0,0,0,0,0.04999999999999999
1774,1601374620786905088,Elden Ring wins Best Roleplaying Game at   Congrats FromSoftware Stocks  Options  Futures  Discussion Groups    ,2022-12-10T00:33:56.000Z,1.0,0,0,0,0,0.3
1781,1601374608749629442,Congratulations to FromSoftware and Elden Ring on winning Game of the Year at  Sniping stocks  click to enter    ,2022-12-10T00:33:53.000Z,1.0,0,0,0,0,0.04999999999999999
1782,1601374602839887872,FromSoftware earns Best Game Direction for Elden Ring at   Congrats Stock insider trading discussion group  click to join    ,2022-12-10T00:33:52.000Z,1.0,0,0,0,0,0.3
1823,1601371822930350080,Here s my take on based on what I know  Elden Ring absolutely deserved GOTY  however it had a huge edge with GoW s delayed release But I will say one of the other games deserved Best RPG over Elden Ring ,2022-12-10T00:22:49.000Z,2.0,0,0,1,0,0.36875
1846,1601370244769263617,If the absurdity of The Game Awards  final moments weren t enough for you  you ll be pleased to know someone added Bill Clinton to Elden Ring to memorialize it ,2022-12-10T00:16:33.000Z,1.0,9,4,71,2,0.024999999999999994
1878,1601368169230192640,Just saw that ELDEN RING won GOTY  I was really rooting for GOD OF WAR  RAGNAROK  but I cant deny that Elden Ring is a great game  Congrats to From Software ,2022-12-10T00:08:18.000Z,2.0,1,0,4,0,0.19999999999999998
1879,1601368134702620673,Have you played Elden Ring ,2022-12-10T00:08:09.000Z,1.0,0,0,0,0,0.0
1880,1601368042780622849,Saw that Elden Ring won this year and I do think it was well earned from what I saw  I did want GoW Ragnark to win but I am not disappointed with the outcome either Congrats on your victory  ,2022-12-10T00:07:48.000Z,1.0,0,0,0,0,0.5875
1906,1601366401432064000,Bro took Elden Ring invasions to heart and did that shi IRL,2022-12-10T00:01:16.000Z,1.0,0,0,0,0,0.0
2003,1601361189316878337,So apparently out of all the wild shit that happened at this homie Pedro Eustach goin HAM on his flute for the Elden Ring theme won the night,2022-12-09T23:40:34.000Z,1.0,4,0,11,0,-0.016666666666666663
2006,1601361092147662850,God Of War  Ragnarok Sweeps   Elden Ring Walks Away Game Of The Year,2022-12-09T23:40:10.000Z,1.0,0,0,1,0,-0.4
2020,1601359908875939841,Congratulations to these winners of the Game Awards  and to Elden Ring for becoming Game of the Year Now to the Genshin and Sonic fanstop attacking and threatening each other  It s just an award  nothing more  Let it go and move on  There s always next time ,2022-12-09T23:35:28.000Z,1.0,1,1,8,0,0.004166666666666661
2021,1601359875883212800,Feels kinda dumb that a kid who said something very dumb is overshadowing Elden Rings win at Like thats all anyone is going to talk about now ,2022-12-09T23:35:20.000Z,1.0,0,0,4,0,-0.020833333333333332
2076,1601356906345672704,A kid showed up on stage after Elden Ring s Game of the Year speech to talk about Bill ClintonStocks  Cryptocurrencies  Discussion Groups    ,2022-12-09T23:23:32.000Z,1.0,0,0,0,0,-0.4
2089,1601356186275950592,Elden Ring Game of the Year DLC via,2022-12-09T23:20:41.000Z,1.0,0,0,0,0,-0.4
2129,1601354647901417475,I had no idea the God of War community was so salty  They were both great games  and giving Elden Ring Game of The Year makes total sense to me  Be happy for all the winners and nominees  Happy to see Stray got awards too ,2022-12-09T23:14:34.000Z,1.0,0,0,2,0,0.4
2137,1601354141359427584,Okay real talk elden ring didnt deserve it lmao its not even that good  Its just another souls game  God of War just needed to be released at an earlier time for it to get Game of The Year ,2022-12-09T23:12:33.000Z,1.0,1,0,1,0,0.1714285714285714
2151,1601352706492628994,The second my brother started playing this game back when it came out  we both knew it was going to win GOTY  And it so earned this  So happy it won  There were a lot of good choices for GOTY  Sad only one could win  Congrats Elden Ring,2022-12-09T23:06:51.000Z,1.0,0,0,0,0,0.24444444444444446
2179,1601351151961579520,A kid showed up on stage after Elden Ring s Game of the Year speech to talk about Bill ClintonInsider trading discussion group  click to join    ,2022-12-09T23:00:40.000Z,1.0,0,0,0,0,-0.4
2197,1601350780321435648,Would have been happy if GOW won it but can t lie Elden Ring deserved it ,2022-12-09T22:59:12.000Z,1.0,0,1,0,0,0.8
2201,1601350419942240256,Elden Ring may have taken the cake at yesterday  but check out some of our picks for Game of the Year here at Wonacott Monica  Brooke and Sophie  Stray Riley  Xenoblade Chronicles Alyssa  Splatoon,2022-12-09T22:57:46.000Z,1.0,0,0,1,0,-0.4
2264,1601347038460854272,ELDEN RING F CKING WOOOOOOOONNNNN     ,2022-12-09T22:44:20.000Z,1.0,0,0,3,0,0.0
2283,1601346027998453760,Elden Ring game of the year  Marvel Snap best mobile game  Payah tes maen sang     ,2022-12-09T22:40:19.000Z,1.0,0,0,0,0,0.06666666666666665
2284,1601346027537149955,I am gonna say it anyone who voted Elden Ring for has no taste in variety  Horizon Forbidden West should have gotten some acknowledgement too like come on ,2022-12-09T22:40:19.000Z,1.0,0,0,0,0,0.0
2286,1601345898084081664,Estamos en vivo    Elden Ring Game of The Year ,2022-12-09T22:39:48.000Z,1.0,0,0,4,0,-0.4
2315,1601344232157229056,A kid showed up on stage after Elden Ring s Game of the Year speech to talk about Bill ClintonStock Alerts Discussion Group  Free to Join    ,2022-12-09T22:33:11.000Z,1.0,0,0,0,0,0.0
2409,1601339131896156160,Elden ring GOTY  Thank you fromsoft for this incredible game ,2022-12-09T22:12:55.000Z,1.0,65,2,388,0,0.25
2431,1601338168707780608,Good Afternoon all  Hope that everyone has been having a great day so far   was pretty Great last night  I Truly think Elden Ring was deserving of the title ,2022-12-09T22:09:05.000Z,1.0,1,1,15,0,0.46428571428571436
2439,1601337552710926336,I know its off topic  but how the fck elden ring won goty  same question to gow and rdr2 in,2022-12-09T22:06:38.000Z,1.0,0,0,1,0,0.0
2460,1601336526952337408,A kid showed up on stage after Elden Ring s Game of the Year speech to talk about Bill ClintonSniping stocks  click to enter    ,2022-12-09T22:02:34.000Z,1.0,0,0,0,0,-0.4
2467,1601336365701951489,And kirby would like to congratulate elden ring ,2022-12-09T22:01:55.000Z,1.0,0,0,0,0,0.0
2488,1601335884250599424,FromSoftware Still Has Several More Things Coming For Elden Ring,2022-12-09T22:00:00.000Z,1.0,4,0,9,0,0.25
2560,1601333123371118597,The Bill Clinton kid walking with the Elden Ring team pretending to be one of them Free Alerts Discussion Group  Click to Join    ,2022-12-09T21:49:02.000Z,1.0,0,0,0,0,0.4
2587,1601332097414676480,I like you guys but fix your awards system please  Elden Ring should not have won GOTY over God Of War Ragnarok   Let s be real here  One of the only times I ll ever tweet at you guys cause  man  what a joke ,2022-12-09T21:44:57.000Z,1.0,0,0,0,0,0.1
2608,1601331390444097537,Congrats to on  s Game of the Year  Elden Ring is an absolute masterpiece and I can say one of if not my favorite game of all time  I think it s about time that I finally make a vid on this game,2022-12-09T21:42:09.000Z,1.0,0,0,0,0,-0.08333333333333333
2621,1601330454866821120,ELDEN RING NEGS,2022-12-09T21:38:26.000Z,1.0,0,0,0,0,0.0
2631,1601329869874335744,A kid showed up on stage after Elden Ring s Game of the Year speech to talk about Bill ClintonStock Alerts Discussion Group    ,2022-12-09T21:36:06.000Z,1.0,0,0,0,0,-0.4
2671,1601328294947094528,Very well deserved  Elden Ring was such an amazing experience  As a soulsborne fan  this was my pick  and I m so happy it got the win Congratulations   Can t wait to see what s next ,2022-12-09T21:29:51.000Z,1.0,0,0,1,0,0.4000000000000001
2706,1601326789741404160,You re God of War Ragnarok trying to win The Game of The Year award  but your opponent is Elden Ring ,2022-12-09T21:23:52.000Z,1.0,0,0,0,0,0.2
2734,1601325479260475392,In my analogy Messi is the tarnished one  amp  CR7 is Radahn Messi   GOWRRonaldo   Elden Ring,2022-12-09T21:18:40.000Z,1.0,0,0,0,0,0.0
2743,1601325188745809920,Goty pro Elden Ring foi merecido ,2022-12-09T21:17:30.000Z,1.0,0,0,0,0,0.0
2759,1601324642215788544,Elden Ring Invader The Game Awards Show,2022-12-09T21:15:20.000Z,1.0,0,0,1,0,-0.4
2785,1601323348595986433,Elden Ring has been my favourite game this year and it s been one of the best games I ve played in such a long time  Really happy that Elden Ring won game of the year ,2022-12-09T21:10:12.000Z,2.0,0,0,5,0,0.15833333333333335
2841,1601321372679999488,A kid showed up on stage after Elden Ring s Game of the Year speech to talk about Bill ClintonStocks  Options  Futures  Discussion Groups    ,2022-12-09T21:02:21.000Z,1.0,0,0,0,0,-0.4
2874,1601320362742108163,FromSoftware Still Has Several More Things Coming For Elden Ring,2022-12-09T20:58:20.000Z,1.0,2,1,13,0,0.25
2886,1601320139924066304,A kid showed up on stage after Elden Ring s Game of the Year speech to talk about Bill ClintonStocks  Options  Futures  Discussion Groups    ,2022-12-09T20:57:27.000Z,1.0,0,0,0,0,-0.4
2887,1601320089982308355,And the Winner of the GOTY is Elden Ring Kratos,2022-12-09T20:57:15.000Z,1.0,0,0,0,0,0.0
2909,1601318786233405440,A kid showed up on stage after Elden Ring s Game of the Year speech to talk about Bill ClintonStocks  Options  Futures  Discussion Groups    ,2022-12-09T20:52:04.000Z,1.0,0,0,0,0,-0.4
2926,1601318163924553728,Elden Ring wins the Game of the Year award Gameome More Details ,2022-12-09T20:49:35.000Z,1.0,1,0,0,0,0.13333333333333333
2931,1601317996437590016,was better than last year and noticeably went by fast idk if its just me getting used to it or what  Anyways congrats to Elden Ring  a game Ive never heard ofalso me and da boys gon play party animals when thats released,2022-12-09T20:48:56.000Z,1.0,0,0,1,0,0.07499999999999998
2961,1601316779204415489,Elden Ring Wins GOTY   The Game Awards,2022-12-09T20:44:05.000Z,1.0,0,0,1,0,-0.05000000000000002
2969,1601316388395618305,bill clinton winning game of the year over elden ring  as it should be    also death stranding   love ya kojima ,2022-12-09T20:42:32.000Z,1.0,0,0,0,0,0.19999999999999998
2987,1601315714421657600,Damn  I got Goosebumps when Elden Ring got called on for the GOTY  I m so proud and happy for the Developers   Congratulations You Deserve the GOTY Award,2022-12-09T20:39:51.000Z,1.0,0,0,0,0,0.8
2998,1601315324997271552,this shit was HILARIOUS at   mans actually looked official too as if he worked on Elden Ring himself,2022-12-09T20:38:19.000Z,1.0,0,0,0,0,0.09999999999999999
3009,1601314765938503680,With Elden Ring becoming GOTY  here s that time back in November we met legendary Let Me Solo Her cosplayer at,2022-12-09T20:36:05.000Z,1.0,1,0,7,0,0.48333333333333334
3014,1601314614914215936,A kid showed up on stage after Elden Ring s Game of the Year speech to talk about Bill ClintonStock Intelligence Discussion Group  click jiaru    ,2022-12-09T20:35:29.000Z,1.0,0,0,0,0,-0.4
3044,1601313388105121792,A kid showed up on stage after Elden Ring s Game of the Year speech to talk about Bill ClintonStocks Free Alerts Discussion Group  Click to Join    ,2022-12-09T20:30:37.000Z,1.0,0,0,0,0,0.0
3076,1601312156280303617,A kid showed up on stage after Elden Ring s Game of the Year speech to talk about Bill ClintonStocks  Options  Futures  Discussion Groups    ,2022-12-09T20:25:43.000Z,1.0,0,0,0,0,-0.4
3101,1601311123932057600,Elden Ring is Game of the Year  ,2022-12-09T20:21:37.000Z,1.0,1,0,2,0,-0.4
3106,1601311011445014529,A kid showed up on stage after Elden Ring s Game of the Year speech to talk about Bill ClintonStocks  Options  Forex  Energy  Gold Discussion Groups    ,2022-12-09T20:21:10.000Z,1.0,0,0,0,0,-0.4
3166,1601308782763872256,Someone needs to make an Elden Ring mod replacing the Oracle Envoys with Bill Clinton playing saxophone ,2022-12-09T20:12:19.000Z,1.0,0,0,0,0,0.2
3173,1601308534901444610,A kid showed up on stage after Elden Ring s Game of the Year speech to talk about Bill ClintonStock Advance Alert Group  click to join    ,2022-12-09T20:11:20.000Z,1.0,0,0,0,0,-0.4
3211,1601307120116563968,Not surprised Elden Ring got Game of The Year from the gaming awards,2022-12-09T20:05:42.000Z,1.0,0,0,0,0,-0.225
3218,1601306924078989312,DS2   I was having chills while watching the trailer  Best announcement of yesterday s imo  FS disappointed though  I was hoping a dlc for Elden Ring and I d choose a sequel of either bloodborne or sekiro anyday over Armored Core ,2022-12-09T20:04:56.000Z,1.0,0,1,1,0,0.125
3247,1601305913943810049,Chicago Private School Defends LGBTQ S x Toy Event amid Backlash over Undercover Video Messi Livakovic Bill Clinton Elton Elden Ring Whelan,2022-12-09T20:00:55.000Z,1.0,0,0,0,0,0.0
3264,1601305685957832704,A kid showed up on stage after Elden Ring s Game of the Year speech to talk about Bill ClintonStock insider trading discussion group  click to join    ,2022-12-09T20:00:01.000Z,1.0,0,0,0,0,-0.4
3272,1601305359972343808,Congrats elden ring ,2022-12-09T19:58:43.000Z,1.0,2,0,2,0,0.0
3320,1601303836659838976,Within hours the PC modding community have come through to add a Bill Clinton skin in Elden Ring God bless the PC Modding Community ,2022-12-09T19:52:40.000Z,1.0,0,0,2,0,0.0
3467,1601298984324120577,I love how mad people are that the best game  Elden Ring  won Game of the Year ,2022-12-09T19:33:23.000Z,1.0,0,2,8,0,0.01499999999999999
